[People/NNS, show/VBP, their/PRP$, affection/NN, for/IN, each/DT, other/JJ, ./.] 	[A/DT, women/NNS, giving/VBG, something/NN, to/TO, other/JJ, lady/NN, ./.] 	1
[The/DT, two/CD, men/NNS, are/VBP, running/VBG, ./.] 	[two/CD, of/IN, the/DT, three/CD, men/NNS, are/VBP, running/VBG, ./.] 	238
[A/DT, man/NN, is/VBZ, reading/VBG, a/DT, book/NN, near/IN, the/DT, fireplace/NN, ./.] 	[A/DT, man/NN, is/VBZ, reading/VBG, a/DT, book/NN, on/IN, the/DT, couch/NN, ./.] 	239
[The/DT, man/NN, is/VBZ, standing/VBG, after/IN, his/PRP$, performance/NN, on/IN, the/DT, play/NN, ./.] 	[the/DT, person/NN, is/VBZ, taking/VBG, a/DT, break/NN, from/IN, the/DT, game/NN, in/IN, the/DT, picture/NN] 	240
[A/DT, little/JJ, girl/NN, running/VBG, in/IN, a/DT, field/NN] 	[A/DT, little/JJ, girl/NN, is/VBZ, running/VBG, in/IN, a/DT, field/NN, ./.] 	241
[A/DT, group/NN, of/IN, people/NNS, watches/VBZ, as/IN, the/DT, bride/NN, and/CC, groom/NN, exchange/NN, their/PRP$, vows/VBZ, ./.] 	[A/DT, group/NN, of/IN, people/NNS, wait/VB, for/IN, their/PRP$, turn/NN, to/TO, cross/VB, the/DT, street/NN, ./.] 	242
[After/IN, the/DT, birth/NN, of/IN, a/DT, baby/NN, ,/,, the/DT, nurses/NNS, make/VBP, sure/JJ, that/IN, it/PRP, is/VBZ, okay/JJ, ./.] 	[The/DT, woman/NN, is/VBZ, getting/VBG, ready/JJ, for/IN, the/DT, day/NN, ./.] 	243
[Two/CD, men/NNS, standing/VBG, in/IN, a/DT, sleeping/VBG, area/NN, ./.] 	[Three/CD, men/NNS, are/VBP, walking/VBG, in/IN, front/NN, of/IN, a/DT, tent/NN, ./.] 	244
[A/DT, man/NN, is/VBZ, pumping/VBG, air/NN, on/IN, the/DT, tires/NNS, of/IN, his/PRP$, bicycle/NN, ./.] 	[A/DT, man/NN, is/VBZ, pumping/VBG, air/NN, into/IN, his/PRP$, bicycle/NN, ./.] 	245
[The/DT, man/NN, was/VBD, talking/VBG, on/IN, the/DT, phone/NN, in/IN, the/DT, bathroom/NN, ./.] 	[A/DT, man/NN, is/VBZ, by/IN, the/DT, door/NN, looking/VBG, at/IN, his/PRP$, phone/NN, ./.] 	246
[A/DT, man/NN, asleep/RB, in/IN, a/DT, fountain/NN, in/IN, the/DT, open/JJ, air/NN, ./.] 	[A/DT, man/NN, is/VBZ, looking/VBG, at/IN, an/DT, outdoor/JJ, shower/NN, ./.] 	247
[A/DT, woman/NN, running/VBG, down/RP, the/DT, street/NN, holding/VBG, an/DT, accordion/NN, ./.] 	[A/DT, man/NN, in/IN, a/DT, business/NN, suit/NN, walks/VBZ, down/RP, the/DT, street/NN, ./.] 	248
[A/DT, little/JJ, boy/NN, taking/VBG, photos/NNS, ./.] 	[A/DT, man/NN, and/CC, little/JJ, boy/NN, are/VBP, getting/VBG, a/DT, picture/NN, taken/VBN, ./.] 	249
[A/DT, woman/NN, giving/VBG, a/DT, lecture/NN, on/IN, the/DT, property/NN, tax/NN, ./.] 	[A/DT, man/NN, is/VBZ, working/VBG, at/IN, a/DT, cash/NN, register/NN, ./.] 	250
