[nummod(men-2, two-1), nsubj(crying-4, men-2), aux(crying-4, are-3), root(ROOT-0, crying-4)] 	[nummod(men-2, Two-1), nsubj(laughing-3, men-2), root(ROOT-0, laughing-3), punct(laughing-3, .-4)] 	1
[nummod(kids-2, Two-1), root(ROOT-0, kids-2), acl(kids-2, wearing-3), amod(look-6, cold-4), compound(look-6, clothing-5), dobj(wearing-3, look-6), advmod(down-8, happily-7), advmod(wearing-3, down-8), case(swing-12, through-9), det(swing-12, a-10), compound(swing-12, tire-11), nmod:through(wearing-3, swing-12), case(picture-15, for-13), det(picture-15, a-14), nmod:for(swing-12, picture-15), punct(kids-2, .-16)] 	[nummod(children-2, Two-1), root(ROOT-0, children-2), acl(children-2, dressed-3), case(clothes-6, in-4), amod(clothes-6, warm-5), nmod:in(dressed-3, clothes-6), acl(clothes-6, looking-7), case(them-10, at-8), case(them-10, below-9), nmod:below(looking-7, them-10), advmod(looking-7, happily-11), case(frames-15, through-12), det(frames-15, the-13), compound(frames-15, swing-14), nmod:through(looking-7, frames-15), mark(take-19, in-16), mwe(in-16, order-17), mark(take-19, to-18), acl(frames-15, take-19), det(picture-21, a-20), dobj(take-19, picture-21), punct(children-2, .-22)] 	116
[nsubj(walking-2, people-1), root(ROOT-0, walking-2), det(standing-4, a-3), dobj(walking-2, standing-4), case(park-8, in-5), det(park-8, a-6), compound(park-8, city-7), nmod:in(standing-4, park-8), punct(walking-2, .-9)] 	[root(ROOT-0, People-1), acl(People-1, sitting-2), case(park-6, in-3), det(park-6, a-4), amod(park-6, public-5), nmod:in(sitting-2, park-6), punct(People-1, .-7)] 	117
[nsubj(sitting-2, men-1), root(ROOT-0, sitting-2), case(steps-4, on-3), nmod:on(sitting-2, steps-4), case(dog-7, with-5), det(dog-7, a-6), nmod:with(steps-4, dog-7)] 	[nummod(men-2, Two-1), root(ROOT-0, men-2), acl(men-2, talking-3), case(man-6, with-4), det(man-6, another-5), nmod:with(talking-3, man-6), case(balcony-9, in-7), det(balcony-9, the-8), nmod:in(talking-3, balcony-9)] 	118
[nummod(men-2, Two-1), nsubj(sit-6, men-2), case(hair-5, with-3), amod(hair-5, long-4), nmod:with(men-2, hair-5), root(ROOT-0, sit-6), case(sofas-8, on-7), nmod:on(sit-6, sofas-8), punct(sit-6, .-9)] 	[nummod(men-2, Two-1), nsubj(put-7, men-2), acl(men-2, dressed-3), case(T-shirts-6, in-4), amod(T-shirts-6, black-5), nmod:in(dressed-3, T-shirts-6), root(ROOT-0, put-7), compound:prt(put-7, up-8), det(man-10, a-9), dobj(put-7, man-10), det(man-12, a-11), dep(man-10, man-12), case(laptops-15, under-13), nmod:poss(laptops-15, their-14), nmod:under(man-12, laptops-15), case(couch-18, on-16), det(couch-18, the-17), nmod:on(man-12, couch-18), amod(couch-18, own-19), punct(put-7, .-20)] 	119
[nummod(children-2, two-1), root(ROOT-0, children-2), acl(children-2, riding-3), dobj(riding-3, horses-4), case(setting-8, in-5), det(setting-8, a-6), amod(setting-8, rural-7), nmod:in(riding-3, setting-8), mark(playing-10, while-9), advcl(riding-3, playing-10), dobj(playing-10, lacrosse-11)] 	[nsubj(tend-2, Girls-1), root(ROOT-0, tend-2), case(house-5, to-3), det(house-5, the-4), nmod:to(tend-2, house-5), punct(tend-2, .-6)] 	120
[det(man-2, A-1), root(ROOT-0, man-2), acl(man-2, tying-3), nmod:poss(shoe-5, his-4), dobj(tying-3, shoe-5), case(beach-8, at-6), det(beach-8, a-7), nmod:at(tying-3, beach-8), punct(man-2, .-9)] 	[det(man-2, A-1), nsubj(takes-3, man-2), root(ROOT-0, takes-3), det(break-5, a-4), dobj(takes-3, break-5), case(dog-8, with-6), nmod:poss(dog-8, his-7), nmod:with(break-5, dog-8), case(park-12, in-9), det(park-12, a-10), amod(park-12, public-11), nmod:in(takes-3, park-12), punct(takes-3, .-13)] 	121
[nummod(people-2, Three-1), nsubj(hang-3, people-2), root(ROOT-0, hang-3), compound:prt(hang-3, out-4), case(hill-10, on-5), mwe(on-5, top-6), mwe(on-5, of-7), det(hill-10, a-8), amod(hill-10, big-9), nmod:on_top_of(hang-3, hill-10), punct(hang-3, .-11)] 	[det(group-2, A-1), nsubj(high-13, group-2), case(men-4, of-3), nmod:of(group-2, men-4), case(back-7, in-5), det(back-7, the-6), nmod:in(group-2, back-7), case(loud-12, of-8), det(loud-12, a-9), compound(loud-12, truck-10), compound(loud-12, Al-11), nmod:of(back-7, loud-12), root(ROOT-0, high-13)] 	122
[det(car-2, A-1), nsubj(driving-4, car-2), aux(driving-4, is-3), root(ROOT-0, driving-4), case(mud-7, in-5), det(mud-7, the-6), nmod:in(driving-4, mud-7), punct(driving-4, .-8)] 	[det(man-2, The-1), root(ROOT-0, man-2), case(truck-5, in-3), det(truck-5, the-4), nmod:in(man-2, truck-5), acl(truck-5, driven-6), advmod(driven-6, away-7), punct(man-2, .-8)] 	123
[det(boy-3, A-1), amod(boy-3, little-2), nsubj(got-4, boy-3), root(ROOT-0, got-4), nmod:poss(pants-6, his-5), nsubj(wet-7, pants-6), xcomp(got-4, wet-7), punct(got-4, .-8)] 	[det(boy-2, The-1), nsubj(wet-3, boy-2), root(ROOT-0, wet-3), nmod:poss(pants-5, his-4), dobj(wet-3, pants-5), punct(wet-3, .-6)] 	124
[det(group-2, A-1), nsubj(yelling-5, group-2), case(women-4, of-3), nmod:of(group-2, women-4), root(ROOT-0, yelling-5), case(man-8, at-6), det(man-8, a-7), nmod:at(yelling-5, man-8), punct(yelling-5, .-9)] 	[nummod(men-2, Two-1), nsubj(shouting-3, men-2), root(ROOT-0, shouting-3), case(woman-6, at-4), det(woman-6, a-5), nmod:at(shouting-3, woman-6), case(market-9, in-7), det(market-9, the-8), nmod:in(woman-6, market-9), punct(shouting-3, .-10)] 	125
[det(woman-2, the-1), nsubj(driving-4, woman-2), aux(driving-4, was-3), root(ROOT-0, driving-4), advmod(driving-4, fast-5)] 	[root(ROOT-0, Men-1), punct(Men-1, ,-2), cc(Men-1, nor-3), det(beasts-5, the-4), conj:nor(Men-1, beasts-5), advmod(beasts-5, thereof-6), case(speedboat-8, in-7), nmod:in(thereof-6, speedboat-8)] 	126
[nummod(men-2, Two-1), nsubj(chatting-3, men-2), root(ROOT-0, chatting-3), case(heist-7, about-4), det(heist-7, a-5), compound(heist-7, bank-6), nmod:about(chatting-3, heist-7), punct(chatting-3, .-8)] 	[det(group-2, A-1), nsubjpass(gathered-6, group-2), case(men-4, of-3), nmod:of(group-2, men-4), auxpass(gathered-6, were-5), csubj(car-13, gathered-6), case(Below-10, around-7), det(Below-10, a-8), amod(Below-10, broken-9), nmod:around(gathered-6, Below-10), cop(car-13, are-11), det(car-13, a-12), root(ROOT-0, car-13), punct(car-13, .-14)] 	127
[det(person-2, The-1), nsubj(dead-4, person-2), cop(dead-4, is-3), root(ROOT-0, dead-4), punct(dead-4, .-5)] 	[nmod:npmod(dead-2, Person-1), root(ROOT-0, dead-2), punct(dead-2, .-3)] 	128
[det(group-2, a-1), root(ROOT-0, group-2), case(players-5, of-3), compound(players-5, basketball-4), nmod:of(group-2, players-5), acl(group-2, trying-6), mark(get-8, to-7), xcomp(trying-6, get-8), det(ball-10, the-9), dobj(get-8, ball-10), case(player-13, from-11), det(player-13, another-12), nmod:from(get-8, player-13), punct(group-2, .-14)] 	[compound(player-2, Basketball-1), root(ROOT-0, player-2), acl(player-2, trying-3), mark(take-5, to-4), xcomp(trying-3, take-5), det(ball-7, the-6), dobj(take-5, ball-7), case(another-9, from-8), nmod:from(take-5, another-9), punct(player-2, .-10)] 	129
[nummod(girls-2, Two-1), nsubj(reading-4, girls-2), aux(reading-4, are-3), root(ROOT-0, reading-4), dobj(reading-4, books-5), advmod(reading-4, outside-6), punct(reading-4, .-7)] 	[nummod(girls-2, Three-1), nsubj(books-4, girls-2), compound(books-4, keratosis-3), root(ROOT-0, books-4), punct(books-4, .-5)] 	130
[det(boy-2, A-1), nsubj(gets-7, boy-2), case(t-shirt-6, in-3), det(t-shirt-6, a-4), amod(t-shirt-6, black-5), nmod:in(boy-2, t-shirt-6), root(ROOT-0, gets-7), xcomp(gets-7, ready-8), mark(throw-10, to-9), xcomp(ready-8, throw-10), punct(gets-7, .-11)] 	[nsubj(gets-2, Toddler-1), root(ROOT-0, gets-2), det(horse-5, a-3), amod(horse-5, black-4), dobj(gets-2, horse-5), punct(gets-2, .-6)] 	131
[det(snowboarder-2, A-1), nsubj(jumping-3, snowboarder-2), root(ROOT-0, jumping-3), advmod(jumping-3, high-4), punct(jumping-3, .-5)] 	[nsubj(jumps-2, Skater-1), root(ROOT-0, jumps-2), advmod(jumps-2, aloft-3), mark(skateboard-9, while-4), nsubj(skateboard-9, he-5), cop(skateboard-9, is-6), case(skateboard-9, on-7), det(skateboard-9, a-8), advcl:on(jumps-2, skateboard-9), punct(jumps-2, .-10)] 	132
[compound(playing-2, Child-1), root(ROOT-0, playing-2), case(hoop-6, with-3), det(hoop-6, a-4), compound(hoop-6, hula-5), nmod:with(playing-2, hoop-6), case(home-9, in-7), nmod:poss(home-9, his-8), nmod:in(playing-2, home-9)] 	[det(child-2, A-1), nsubj(plays-3, child-2), root(ROOT-0, plays-3), compound(hop-5, Bhola-4), dobj(plays-3, hop-5), punct(plays-3, .-6)] 	133
[det(man-2, The-1), nsubj(woman-4, man-2), cop(woman-4, is-3), nsubj(relationship-8, woman-4), cop(relationship-8, are-5), case(relationship-8, in-6), det(relationship-8, a-7), root(ROOT-0, relationship-8), punct(relationship-8, .-9)] 	[nsubj(talking-2, Women-1), root(ROOT-0, talking-2), punct(talking-2, .-3)] 	134
[det(audience-2, An-1), root(ROOT-0, audience-2), case(concert-5, at-3), det(concert-5, a-4), nmod:at(audience-2, concert-5), punct(audience-2, .-6)] 	[root(ROOT-0, Representative-1), case(stage-3, on-2), nmod:on(Representative-1, stage-3), case(ceremony-6, at-4), det(ceremony-6, the-5), nmod:at(Representative-1, ceremony-6)] 	135
[det(adults-2, the-1), nsubj(are-3, adults-2), root(ROOT-0, are-3), advmod(are-3, inside-4)] 	[nsubj(sitting-3, Adults-1), aux(sitting-3, are-2), root(ROOT-0, sitting-3), case(home-5, at-4), nmod:at(sitting-3, home-5), punct(sitting-3, .-6)] 	136
[expl(is-2, There-1), root(ROOT-0, is-2), det(group-4, a-3), nsubj(is-2, group-4), case(men-7, of-5), amod(men-7, young-6), nmod:of(group-4, men-7), amod(instruments-9, playing-8), dep(men-7, instruments-9), punct(is-2, .-10)] 	[expl(are-2, There-1), root(ROOT-0, are-2), det(group-4, a-3), nsubj(are-2, group-4), case(men-6, of-5), nmod:of(group-4, men-6), acl(men-6, playing-7), dobj(playing-7, music-8), punct(are-2, .-9)] 	137
[det(baby-2, A-1), nsubj(chewing-4, baby-2), aux(chewing-4, is-3), root(ROOT-0, chewing-4), case(fingers-7, on-5), nmod:poss(fingers-7, his-6), nmod:on(chewing-4, fingers-7), mark(wearing-9, while-8), advcl(chewing-4, wearing-9), det(outfit-14, a-10), amod(outfit-14, cute-11), amod(outfit-14, blue-12), amod(outfit-14, striped-13), dobj(wearing-9, outfit-14), punct(chewing-4, .-15)] 	[det(girl-3, A-1), amod(girl-3, small-2), nsubj(inflated-10, girl-3), acl(girl-3, wearing-4), det(shirt-7, a-5), amod(shirt-7, red-6), dobj(wearing-4, shirt-7), cc(shirt-7, and-8), conj:and(shirt-7, jacket-9), root(ROOT-0, inflated-10), dobj(inflated-10, bubble-11), case(stick-15, in-12), det(stick-15, a-13), amod(stick-15, big-14), nmod:in(inflated-10, stick-15), punct(inflated-10, .-16)] 	138
[expl(are-2, There-1), root(ROOT-0, are-2), advmod(two-4, only-3), nummod(athletes-5, two-4), nsubj(are-2, athletes-5)] 	[det(men-2, Some-1), nsubj(running-3, men-2), root(ROOT-0, running-3)] 	139
[det(girl-2, The-1), nsubj(child-8, girl-2), cop(child-8, is-3), det(child-8, a-4), amod(child-8, starving-5), punct(child-8, ,-6), amod(child-8, homeless-7), root(ROOT-0, child-8), case(Africa-10, in-9), nmod:in(child-8, Africa-10), punct(child-8, ,-11), cc(child-8, and-12), conj:and(child-8, missionaries-13), aux(given-15, have-14), acl(child-8, given-15), nmod:poss(bread-17, her-16), dobj(given-15, bread-17), mark(eat-19, to-18), advcl(given-15, eat-19), punct(child-8, .-20)] 	[det(man-2, A-1), nsubj(offers-3, man-2), root(ROOT-0, offers-3), dobj(offers-3, food-4), case(children-6, for-5), nmod:for(offers-3, children-6), punct(offers-3, .-7)] 	140
[det(man-2, A-1), root(ROOT-0, man-2), case(shirt-6, in-3), det(shirt-6, a-4), amod(shirt-6, green-5), nmod:in(man-2, shirt-6), acl(shirt-6, making-7), det(cup-9, a-8), dobj(making-7, cup-9), punct(man-2, .-10)] 	[det(man-2, A-1), root(ROOT-0, man-2), acl(man-2, carrying-3), det(shirt-6, a-4), amod(shirt-6, blue-5), dobj(carrying-3, shirt-6), dep(shirt-6, Cuba-7), punct(man-2, .-8)] 	141
[det(woman-3, An-1), amod(woman-3, older-2), nsubj(had-4, woman-3), root(ROOT-0, had-4), det(cart-6, a-5), dobj(had-4, cart-6), amod(cart-6, full-7), case(groceries-9, of-8), nmod:of(full-7, groceries-9), punct(had-4, .-10)] 	[root(ROOT-0, Man-1), acl(Man-1, driving-2), nmod:poss(cart-4, his-3), dobj(driving-2, cart-4), xcomp(driving-2, full-5), case(purchases-7, of-6), nmod:of(full-5, purchases-7), punct(Man-1, .-8)] 	142
[det(man-2, A-1), root(ROOT-0, man-2), acl(man-2, carrying-3), compound(beams-5, steel-4), dobj(carrying-3, beams-5), case(lumberyard-8, across-6), det(lumberyard-8, a-7), nmod:across(carrying-3, lumberyard-8), punct(man-2, .-9)] 	[nsubj(sits-2, Furniture-1), root(ROOT-0, sits-2), case(truck-6, inside-3), det(truck-6, a-4), amod(truck-6, moving-5), nmod:inside(sits-2, truck-6), case(slope-9, on-7), det(slope-9, a-8), nmod:on(truck-6, slope-9), punct(sits-2, .-10)] 	143
[det(food-2, The-1), nsubj(sweet-8, food-2), det(child-4, the-3), nsubj(eating-6, child-4), aux(eating-6, is-5), acl:relcl(food-2, eating-6), cop(sweet-8, is-7), root(ROOT-0, sweet-8), punct(sweet-8, .-9)] 	[det(boy-2, The-1), nsubj(eats-3, boy-2), root(ROOT-0, eats-3), dobj(eats-3, food-4), punct(eats-3, .-5)] 	144
[det(player-2, a-1), nsubjpass(tackled-7, player-2), acl(player-2, throwing-3), det(ball-5, a-4), dobj(throwing-3, ball-5), auxpass(tackled-7, is-6), root(ROOT-0, tackled-7), case(another-9, by-8), nmod:agent(tackled-7, another-9)] 	[det(player-2, A-1), nsubj(throws-3, player-2), root(ROOT-0, throws-3), det(ball-5, a-4), dobj(throws-3, ball-5), punct(throws-3, .-6)] 	145
[amod(dog-2, Black-1), nsubj(playing-3, dog-2), root(ROOT-0, playing-3), case(toys-5, with-4), nmod:with(playing-3, toys-5)] 	[det(Btaban-4, A-1), amod(Btaban-4, young-2), compound(Btaban-4, boy-3), nsubj(laughs-7, Btaban-4), amod(laughs-7, short-5), amod(laughs-7, red-6), root(ROOT-0, laughs-7), punct(laughs-7, .-8)] 	146
[det(man-3, The-1), amod(man-3, elderly-2), nsubj(resting-5, man-3), aux(resting-5, is-4), root(ROOT-0, resting-5), case(bicycle-8, on-6), nmod:poss(bicycle-8, his-7), nmod:on(resting-5, bicycle-8), punct(resting-5, .-9)] 	[det(man-2, The-1), nsubj(sits-3, man-2), root(ROOT-0, sits-3), xcomp(sits-3, waiting-4), case(role-7, for-5), nmod:poss(role-7, his-6), nmod:for(waiting-4, role-7), punct(sits-3, .-8)] 	147
[root(ROOT-0, Man-1), acl(Man-1, sitting-2), case(end-5, at-3), det(end-5, the-4), nmod:at(sitting-2, end-5), case(row-8, of-6), det(row-8, a-7), nmod:of(end-5, row-8), case(chairs-11, of-9), amod(chairs-11, green-10), nmod:of(row-8, chairs-11), case(payphones-14, by-12), det(payphones-14, some-13), nmod:by(sitting-2, payphones-14), punct(Man-1, .-15)] 	[nsubj(chairs-4, People-1), cop(chairs-4, are-2), amod(chairs-4, folding-3), root(ROOT-0, chairs-4), acl(chairs-4, look-5), case(cliff-8, of-6), det(cliff-8, a-7), nmod:of(look-5, cliff-8), punct(chairs-4, .-9)] 	148
[det(people-2, The-1), nsubj(doing-4, people-2), aux(doing-4, are-3), root(ROOT-0, doing-4), det(stroke-7, the-5), amod(stroke-7, back-6), dobj(doing-4, stroke-7), punct(doing-4, .-8)] 	[nsubj(taking-3, People-1), aux(taking-3, are-2), root(ROOT-0, taking-3), det(break-5, a-4), dobj(taking-3, break-5), punct(taking-3, .-6)] 	149
[det(woman-2, The-1), nsubj(wearing-4, woman-2), aux(wearing-4, is-3), root(ROOT-0, wearing-4), det(uniform-6, a-5), dobj(wearing-4, uniform-6)] 	[root(ROOT-0, Woman-1), acl(Woman-1, wearing-2), det(hat-4, a-3), dobj(wearing-2, hat-4), punct(Woman-1, .-5)] 	150
[det(carpenter-2, The-1), nsubj(taking-4, carpenter-2), aux(taking-4, is-3), root(ROOT-0, taking-4), det(break-6, a-5), dobj(taking-4, break-6), punct(taking-4, .-7)] 	[nsubj(taking-3, Al-Najjar-1), aux(taking-3, was-2), root(ROOT-0, taking-3), det(break-5, a-4), dobj(taking-3, break-5), punct(taking-3, .-6)] 	151
[det(baby-2, A-1), nsubjpass(held-6, baby-2), case(pink-4, in-3), nmod:in(baby-2, pink-4), auxpass(held-6, is-5), root(ROOT-0, held-6), punct(held-6, .-7)] 	[compound(Ford-2, Woman-1), nsubj(food-4, Ford-2), cop(food-4, is-3), root(ROOT-0, food-4), case(children-6, for-5), nmod:for(food-4, children-6), case(blue-8, in-7), nmod:in(children-6, blue-8), acl(blue-8, sitting-9), case(table-12, under-10), det(table-12, the-11), nmod:under(sitting-9, table-12), punct(food-4, .-13)] 	152
[nsubjpass(dressed-3, Someone-1), auxpass(dressed-3, is-2), root(ROOT-0, dressed-3), case(clothing-5, in-4), nmod:in(dressed-3, clothing-5), cc(dressed-3, and-6), conj:and(dressed-3, putting-7), nmod:poss(face-9, her-8), dobj(putting-7, face-9), case(tube-15, in-10), mwe(in-10, front-11), mwe(in-10, of-12), det(tube-15, a-13), amod(tube-15, talking-14), nmod:in_front_of(putting-7, tube-15), punct(dressed-3, .-16)] 	[compound(shirt-3, Woman-1), amod(shirt-3, green-2), root(ROOT-0, shirt-3), cc(shirt-3, and-4), conj:and(shirt-3, carrying-5), det(camera-7, a-6), dobj(carrying-5, camera-7), cc(shirt-3, and-8), conj:and(shirt-3, surrounded-9), case(group-12, by-10), det(group-12, a-11), nmod:by(surrounded-9, group-12), case(people-14, of-13), nmod:of(group-12, people-14), punct(shirt-3, .-15)] 	153
[det(dog-3, A-1), amod(dog-3, brown-2), nsubj(running-9, dog-3), case(collar-7, with-4), det(collar-7, a-5), amod(collar-7, blue-6), nmod:with(dog-3, collar-7), aux(running-9, is-8), root(ROOT-0, running-9), punct(running-9, .-10)] 	[amod(dog-2, Brown-1), root(ROOT-0, dog-2), acl(dog-2, wearing-3), det(gasket-6, a-4), amod(gasket-6, blue-5), nsubj(grass-10, gasket-6), cop(grass-10, being-7), case(grass-10, on-8), det(grass-10, the-9), ccomp(wearing-3, grass-10), punct(dog-2, .-11)] 	154
[nummod(dogs-2, Two-1), nsubj(playing-4, dogs-2), aux(playing-4, are-3), root(ROOT-0, playing-4), case(yard-7, in-5), det(yard-7, a-6), nmod:in(playing-4, yard-7), punct(playing-4, .-8)] 	[nummod(dogs-2, Two-1), root(ROOT-0, dogs-2), acl(dogs-2, playing-3), case(park-6, in-4), det(park-6, the-5), nmod:in(playing-3, park-6), punct(dogs-2, .-7)] 	155
[det(dog-2, A-1), nsubj(running-10, dog-2), case(Frisbee-5, with-3), det(Frisbee-5, a-4), nmod:with(dog-2, Frisbee-5), case(mouth-8, in-6), nmod:poss(mouth-8, its-7), nmod:in(Frisbee-5, mouth-8), aux(running-10, is-9), root(ROOT-0, running-10), case(snow-12, through-11), nmod:through(running-10, snow-12), punct(running-10, .-13)] 	[det(dog-2, A-1), nsubjpass(built-5, dog-2), aux(built-5, is-3), auxpass(built-5, being-4), root(ROOT-0, built-5), case(bird-10, in-6), det(bird-10, the-7), compound(bird-10, snow-8), compound(bird-10, dish-9), nmod:in(built-5, bird-10), case(mouth-13, in-11), nmod:poss(mouth-13, his-12), nmod:in(built-5, mouth-13), punct(built-5, .-14)] 	156
[nummod(women-2, Two-1), root(ROOT-0, women-2), acl(women-2, standing-3), case(subway-6, near-4), det(subway-6, the-5), nmod:near(standing-3, subway-6)] 	[expl(are-2, There-1), root(ROOT-0, are-2), nummod(women-4, three-3), nsubj(are-2, women-4), acl(women-4, standing-5), case(station-9, at-6), det(station-9, the-7), compound(station-9, bus-8), nmod:at(standing-5, station-9), punct(are-2, .-10)] 	157
[det(marketplace-2, This-1), nsubj(features-3, marketplace-2), root(ROOT-0, features-3), amod(vendors-5, multiple-4), dobj(features-3, vendors-5), acl(vendors-5, selling-6), dobj(selling-6, fruits-7), punct(fruits-7, ,-8), conj:and(fruits-7, vegetables-9), punct(fruits-7, ,-10), cc(fruits-7, and-11), amod(items-13, other-12), conj:and(fruits-7, items-13), punct(features-3, .-14)] 	[compound(center-3, Fruit-1), compound(center-3, market-2), nsubj(offers-4, center-3), root(ROOT-0, offers-4), dobj(offers-4, artichokes-5), punct(offers-4, ,-6), cc(offers-4, and-7), amod(types-10, many-8), amod(types-10, different-9), conj:and(offers-4, types-10), case(fruit-12, of-11), nmod:of(types-10, fruit-12), punct(offers-4, .-13)] 	158
[nsubj(sleeps-2, Man-1), root(ROOT-0, sleeps-2), case(store-4, outside-3), nmod:outside(sleeps-2, store-4)] 	[det(man-2, A-1), nsubj(sleeps-3, man-2), root(ROOT-0, sleeps-3), advmod(sleeps-3, outside-4), punct(sleeps-3, .-5)] 	159
[det(man-2, The-1), nsubj(racing-4, man-2), aux(racing-4, is-3), root(ROOT-0, racing-4), compound:prt(racing-4, down-5), det(mountain-7, the-6), dobj(racing-4, mountain-7), punct(racing-4, .-8)] 	[det(man-2, The-1), root(ROOT-0, man-2), acl(man-2, skating-3), compound:prt(skating-3, down-4), det(mountain-6, the-5), dobj(skating-3, mountain-6), punct(man-2, .-7)] 	160
[nummod(Mormons-2, Four-1), nsubj(walking-3, Mormons-2), root(ROOT-0, walking-3), case(beach-6, along-4), det(beach-6, the-5), nmod:along(walking-3, beach-6), punct(walking-3, .-7)] 	[nummod(people-2, Two-1), nsubj(walking-3, people-2), root(ROOT-0, walking-3), case(beach-6, along-4), det(beach-6, the-5), nmod:along(walking-3, beach-6), punct(walking-3, .-7)] 	161
[det(man-2, A-1), nsubj(holding-9, man-2), case(suit-7, in-3), det(suit-7, a-4), amod(suit-7, black-5), compound(suit-7, swimming-6), nmod:in(man-2, suit-7), aux(holding-9, is-8), root(ROOT-0, holding-9), case(edge-12, onto-10), det(edge-12, the-11), nmod:onto(holding-9, edge-12), acl(edge-12, of-13), dep(of-13, a-14), case(pool-17, in-15), compound(pool-17, ground-16), nmod:in(a-14, pool-17), punct(holding-9, .-18)] 	[compound(stick-4, Woman-1), compound(stick-4, suit-2), compound(stick-4, pool-3), root(ROOT-0, stick-4), case(edge-7, to-5), det(edge-7, the-6), nmod:to(stick-4, edge-7), case(pool-11, of-8), det(pool-11, the-9), compound(pool-11, swimming-10), nmod:of(edge-7, pool-11), punct(stick-4, .-12)] 	162
[det(man-2, The-1), nsubj(using-4, man-2), aux(using-4, is-3), root(ROOT-0, using-4), det(cart-7, a-5), compound(cart-7, shopping-6), dobj(using-4, cart-7), punct(using-4, .-8)] 	[det(man-2, A-1), nsubj(walks-3, man-2), root(ROOT-0, walks-3), case(Wal-Mart-6, through-4), det(Wal-Mart-6, the-5), nmod:through(walks-3, Wal-Mart-6), case(cart-9, with-7), det(cart-9, a-8), nmod:with(walks-3, cart-9), amod(cart-9, full-10), case(things-12, of-11), nmod:of(full-10, things-12), punct(walks-3, .-13)] 	163
[nsubj(walk-2, People-1), root(ROOT-0, walk-2), case(wall-6, beside-3), det(wall-6, a-4), compound(wall-6, stone-5), nmod:beside(walk-2, wall-6), punct(walk-2, .-7)] 	[det(man-2, A-1), nsubj(walks-3, man-2), root(ROOT-0, walks-3), compound:prt(walks-3, down-4), det(corridor-6, the-5), dobj(walks-3, corridor-6), case(set-9, of-7), det(set-9, a-8), nmod:of(corridor-6, set-9), case(shops-12, of-10), compound(shops-12, interfaces-11), nmod:of(set-9, shops-12), punct(walks-3, .-13)] 	164
[det(man-2, A-1), nsubj(play-3, man-2), root(ROOT-0, play-3), dobj(play-3, football-4), case(park-7, in-5), det(park-7, the-6), nmod:in(play-3, park-7), punct(play-3, .-8)] 	[det(man-2, A-1), nsubj(plays-3, man-2), root(ROOT-0, plays-3), dobj(plays-3, football-4), case(park-7, in-5), det(park-7, the-6), nmod:in(plays-3, park-7), punct(plays-3, .-8)] 	165
[nummod(individuals-3, Two-1), amod(individuals-3, young-2), nsubj(playing-5, individuals-3), aux(playing-5, are-4), root(ROOT-0, playing-5), compound(boys-7, drummer-6), dobj(playing-5, boys-7), dep(playing-5, using-8), compound(cans-10, soda-9), dobj(using-8, cans-10), cc(using-8, and-11), conj:and(using-8, drumsticks-12)] 	[nummod(children-2, Two-1), root(ROOT-0, children-2), acl(children-2, playing-3), case(knives-5, with-4), nmod:with(playing-3, knives-5), punct(children-2, .-6)] 	166
[det(man-2, A-1), nsubj(sleeping-4, man-2), aux(sleeping-4, is-3), root(ROOT-0, sleeping-4), case(dog-8, with-5), det(dog-8, a-6), amod(dog-8, small-7), nmod:with(sleeping-4, dog-8), punct(sleeping-4, .-9)] 	[det(man-2, A-1), root(ROOT-0, man-2), case(dog-6, with-3), det(dog-6, a-4), amod(dog-6, small-5), nmod:with(man-2, dog-6), punct(man-2, .-7)] 	167
[det(jeep-2, The-1), nsubj(crashes-3, jeep-2), root(ROOT-0, crashes-3), case(rocks-6, onto-4), det(rocks-6, some-5), nmod:onto(crashes-3, rocks-6), punct(crashes-3, .-7)] 	[root(ROOT-0, Many-1), case(cars-4, of-2), det(cars-4, the-3), nmod:of(Many-1, cars-4), acl(cars-4, parked-5), case(mountain-8, on-6), det(mountain-8, a-7), nmod:on(parked-5, mountain-8), punct(Many-1, .-9)] 	168
[det(band-2, A-1), nsubj(performs-3, band-2), root(ROOT-0, performs-3), case(sidewalk-6, on-4), det(sidewalk-6, a-5), nmod:on(performs-3, sidewalk-6), punct(performs-3, .-7)] 	[compound(playing-2, Band-1), root(ROOT-0, playing-2), case(sidewalk-5, on-3), det(sidewalk-5, the-4), nmod:on(playing-2, sidewalk-5), punct(playing-2, .-6)] 	169
[det(boy-2, The-1), nsubj(had-3, boy-2), root(ROOT-0, had-3), det(hat-6, a-4), amod(hat-6, black-5), dobj(had-3, hat-6), cc(hat-6, and-7), amod(shirt-9, red-8), conj:and(hat-6, shirt-9), case(skateboarding-12, on-10), mark(skateboarding-12, while-11), nmod:on(had-3, skateboarding-12), punct(had-3, .-13)] 	[det(boy-3, A-1), amod(boy-3, young-2), root(ROOT-0, boy-3), acl(boy-3, wearing-4), det(shirt-7, a-5), amod(shirt-7, blue-6), dobj(wearing-4, shirt-7), cc(shirt-7, and-8), amod(afternoon-11, red-9), compound(afternoon-11, hat-10), conj:and(shirt-7, afternoon-11), punct(boy-3, .-12)] 	170
[det(man-3, The-1), amod(man-3, young-2), nsubj(jumping-5, man-3), aux(jumping-5, is-4), root(ROOT-0, jumping-5), punct(jumping-5, .-6)] 	[det(boy-3, A-1), amod(boy-3, little-2), nsubj(jumps-4, boy-3), root(ROOT-0, jumps-4), punct(jumps-4, .-5)] 	171
